시군구명,폐교명,폐교연도,학교급구분명,활용현황구분명,건물연면적,대지
강진군,강진서초영파분교장,1991,초등학교,미활용,0,9250
강진군,강진북초등학교,2024,초등학교,미활용,2346,20534
고흥군,과역동초백일분교장,2007,초등학교,미활용,211,5056
고흥군,나로고등학교,2014,고등학교,미활용,3473,21377
고흥군,동강초매곡분교장,1997,초등학교,미활용,1130,13278
고흥군,포두초포두동분교장,1995,초등학교,대부,639,98475
고흥군,흥양초등학교,1998,초등학교,대부,1223,16642
고흥군,대서서초등학교,1999,초등학교,대부,0,14223
고흥군,남성초등학교,1999,초등학교,대부,1514,14931
고흥군,두원북초등학교,1999,초등학교,대부,933,18460
고흥군,두원중학교,2002,중학교,대부,1424,16909
고흥군,풍양초매곡분교장,1992,초등학교,대부,0,3401
고흥군,대서초안남분교장,2008,초등학교,미활용,1992,13776
고흥군,금산종합고등학교,2015,고등학교,대부,3404,26456
고흥군,화계초여주분교장,1994,초등학교,미활용,0,6315
곡성군,석곡초기룡분교장,1996,초등학교,대부,901,6966
곡성군,석곡초명강분교장,1999,초등학교,대부,1153,15712
곡성군,석곡초염곡분교장,1995,초등학교,미활용,466,6787
곡성군,오곡초명성분교장,1992,초등학교,대부,376,5396
곡성군,겸면초마삼분교장,2004,초등학교,대부,876,12240
광양시,진상초황죽분교장,2017,초등학교,대부,796,6893
구례군,토지초문수분교장,2000,초등학교,대부,217,55168
구례군,토지초외곡분교장,1992,초등학교,미활용,2501,5893
나주시,다도초덕림분교장,1991,초등학교,미활용,0,2742
나주시,다시초국동분교장,1995,초등학교,미활용,75,11113
나주시,문평남초등학교,2010,초등학교,미활용,2135,16909
나주시,다시남초등학교,1999,초등학교,미활용,1338,20075
나주시,나주초이화분교장,2008,초등학교,미활용,1752,14268
나주시,남평동초등학교,1999,초등학교,대부,1058,13474
나주시,공산고등학교,2013,고등학교,대부,3056,15210
담양군,고서초주산분교장,1999,초등학교,미활용,0,14151
담양군,남면초인암분교장,2011,초등학교,대부,977,11402
담양군,만덕초용산분교장,1995,초등학교,미활용,738,8695
목포시,유달초율도분교장,2021,초등학교,미활용,442,5491
무안군,해제동초등학교,2009,초등학교,미활용,1746,13652
무안군,일로초지감분교장,1999,초등학교,미활용,709,9232
무안군,현경고등학교,2015,고등학교,미활용,6228,26556
보성군,노동초금호분교장,1994,초등학교,미활용,588,9808
보성군,겸백초은덕분교장,1994,초등학교,미활용,692,12132
보성군,득량서초등학교,1997,초등학교,대부,543,15629
보성군,장암초등학교,1998,초등학교,미활용,799,7768
보성군,노동초학동분교장,1999,초등학교,미활용,875,13055
보성군,영등초등학교,2004,초등학교,미활용,0,20930
보성군,벌교초해도분교장,2006,초등학교,미활용,153,7238
보성군,회천동초등학교,2007,초등학교,미활용,951,92561
보성군,벌교초제석분교장,2015,초등학교,미활용,1126,13922
순천시,황전초평죽분교장,1992,초등학교,미활용,659,6948
순천시,순천남초삼거분교장,1999,초등학교,대부,0,13929
순천시,해룡초농주분교장,2011,초등학교,대부,1644,23459
순천시,낙안초창녕분교장,2014,초등학교,대부,214,4033
순천시,황전북초용림분교장,2011,초등학교,대부,451,9327
순천시,황전초대치분교장,2014,초등학교,대부,1617,22682
순천시,별량남초등학교,2000,초등학교,대부,1600,11203
순천시,동산초판교분교장,1994,초등학교,미활용,865,16279
순천시,별량초마산분교장,2009,초등학교,미활용,0,8149
순천시,주암초어왕분교장,2009,초등학교,미활용,979,8266
순천시,승주초죽학분교장,2024,초등학교,미활용,649,3847
여수시,백초초우두분교장,2013,초등학교,대부,1153,7330
여수시,여안초여남중안도분교장,2020,중학교,대부,0,641
여수시,초도초광도분교장,1991,초등학교,미활용,87,761
여수시,소라중앙초등학교,1992,초등학교,미활용,1075,7004
여수시,화태초소두라분교장,1992,초등학교,미활용,0,3779
여수시,금성초등학교,1999,초등학교,미활용,992,7277
여수시,율촌초송도분교장,2001,초등학교,미활용,0,3699
여수시,돌산초대신분교장,2005,초등학교,미활용,1163,12211
여수시,연도초역포분교장,2009,초등학교,미활용,313,3786
여수시,화태초여동분교장,2015,초등학교,미활용,534,4571
여수시,거문중초도분교장,2017,중학교,미활용,773,1186
여수시,거문초덕촌분교장,2019,초등학교,미활용,541,7033
여수시,거문초동도분교장,2020,초등학교,미활용,486,795057
여수시,율촌초산수분교장,2021,초등학교,미활용,680,8592
여수시,초도초등학교,2017,초등학교,대부,773,11860
여수시,나진초용창분교장,2021,초등학교,미활용,1218,31706
여수시,여안초등학교,2022,초등학교,미활용,1317,10033
여수시,화태초등학교,2022,초등학교,미활용,1149,11931
여수시,거문초손죽분교장,2022,초등학교,대부,411,106651
여수시,화태초돌산중화태분교장,2022,초등학교,미활용,1144,11847
여수시,돌산초월호분교장,2024,초등학교,미활용,610,6551
여수시,봉덕초평사분교장,2024,초등학교,미활용,994,6643
여수시,소라초신흥분교장,2024,초등학교,미활용,1361,12068
영광군,염산초야월분교장,2013,초등학교,미활용,1928,15780
영광군,영광서초등학교,2011,초등학교,미활용,1852,12466
영암군,서호북초등학교,1999,초등학교,대부,873,17616
영암군,신북초신북서분교장,2011,초등학교,대부,810,20139
영암군,금정초한대분교장,1992,초등학교,미활용,378,4640
영암군,군서북초등학교,1999,초등학교,미활용,826,11351
영암군,금정초청룡분교장,1999,초등학교,미활용,609,50310
영암군,시종초종남분교장,2013,초등학교,대부,2183,30587
영암군,도포초영농분교장,2016,초등학교,미활용,274,1833
영암군,도포초도신분교장,2008,초등학교,대부,585,12745
장성군,사창초능성분교장,1995,초등학교,미활용,1006,12422
장성군,삼서남초등학교,1999,초등학교,대부,0,18218
장성군,장성신흥중학교,2015,중학교,미활용,1632,15591
장흥군,관산초영성분교장,2008,초등학교,미활용,1250,14176
진도군,오송초등학교,1996,초등학교,대부,0,10553
진도군,조도초맹골분교장,2000,초등학교,미활용,0,608
진도군,조도초소죽도분교장,2004,초등학교,미활용,101,258
진도군,지산서초등학교,2009,초등학교,대부,981,14582
진도군,석교초용등분교장,2009,초등학교,미활용,1058,13766
진도군,의동초등학교,2014,초등학교,미활용,1326,12984
함평군,성남초등학교,2002,초등학교,대부,923,16394
함평군,대동향교초동암분교장,1992,초등학교,대부,933,13310
함평군,손불초용암분교장,2005,초등학교,미활용,1446,15927
함평군,대동향교초대신분교장,2008,초등학교,미활용,894,16229
함평군,영창초등학교,2009,초등학교,대부,1896,16170
해남군,화원초화봉분교장,2004,초등학교,미활용,2051,19066
해남군,군곡초등학교,2011,초등학교,미활용,1030,19070
화순군,아산초서유분교장,2007,초등학교,미활용,1180,16514
화순군,동면초경복분교장,2001,초등학교,대부,1713,9840
화순군,화순오성초주도분교장,1996,초등학교,대부,449,8403
화순군,천태초봉하분교장,2004,초등학교,대부,853,8967
화순군,동복초가수분교장,1999,초등학교,미활용,844,6262
화순군,아산초노치분교장,1994,초등학교,미활용,106,3309
화순군,동면초옥호분교장,1995,초등학교,미활용,289,3465
화순군,아산초송방분교장,1996,초등학교,미활용,835,7100
화순군,화순초수만분교장,1997,초등학교,미활용,362,5014
화순군,청풍초신석분교장,1996,초등학교,미활용,165,4925
